Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
Brian Scott,Civil Engineering,"['natural language processing', 'network engineering']","['quantum computing', 'blockchain', 'data science and analytics']","['R', 'MATLAB', 'JavaScript']",['Angular'],"['Kubernetes', 'Google Cloud', 'Keras', 'Azure']","['TensorFlow', 'GitLab']",2 months,Contributed to XYZ project,No achievements
Christopher Mccarthy,Information Technology,"['software engineering', 'cryptography']","['cybersecurity', 'robotics', 'web and mobile development']","['SQL', 'Lua', 'Swift', 'TypeScript', 'Shell Scripting']","['Vue.js', 'Express.js']","['Kubernetes', 'TensorFlow', 'Elasticsearch', 'Ansible']","['TensorFlow', 'Ansible', 'Elasticsearch', 'PostgreSQL']",1 month,Contributed to XYZ project,No achievements
Jessica Powell,Biotechnology,['computational theory'],['web and mobile development'],"['Lua', 'TypeScript']","['React Native', 'Angular']","['Elasticsearch', 'TensorFlow', 'Google Cloud']","['Docker', 'TensorFlow']",2 months,No open-source contribution,No achievements
Stacy Sweeney,Civil Engineering,"['digital signal processing', 'deep learning']","['quantum computing', 'blockchain']",['Ruby'],"['Ember.js', 'Ionic']","['Git', 'GitLab']",['Git'],1 week,No open-source contribution,No achievements
Christine Chen,Mechanical Engineering,"['AR/VR', 'blockchain', 'natural language processing']","['blockchain', 'data science and analytics']","['Objective-C', 'Scala', 'R', 'Lua', 'Python']","['Angular', 'NestJS', 'Meteor', 'Vue.js']","['MongoDB', 'Jenkins', 'PostgreSQL']",['Kubernetes'],2 months,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Jesse Lopez,Information Technology,"['computer architecture', 'algorithms', 'IoT']","['data science and analytics', 'game development', 'cybersecurity']","['Java', 'MATLAB']","['Laravel', 'NestJS', 'Next.js', 'Django']","['Redis', 'GitHub', 'Kubernetes']","['Google Cloud', 'Elasticsearch', 'AWS']",1 month,No open-source contribution,Awarded XYZ in Information Technology
Ashley Orr,Computer Science,"['system architecture', 'business intelligence', 'IoT']","['human-computer interaction', 'data science and analytics']","['Ruby', 'TypeScript']","['Vue.js', 'Laravel', 'NestJS']","['TensorFlow', 'Git']","['Docker', 'Google Cloud', 'GitLab']",1 month,Contributed to XYZ project,No achievements
Patricia Smith,Computer Science,"['autonomous systems', 'artificial intelligence', 'big data']","['game development', 'human-computer interaction', 'data science and analytics']","['C++', 'R', 'Dart', 'Rust']","['Flask', 'Vue.js', 'Next.js']","['Kubernetes', 'AWS', 'Docker', 'Jenkins']","['Azure', 'MySQL', 'Git', 'Kubernetes']",2 months,Contributed to XYZ project,No achievements
Michael Martinez,Computer Science,['data engineering'],"['cybersecurity', 'quantum computing']","['Shell Scripting', 'Scala']","['Blitz.js', 'Laravel', 'Vue.js', 'Spring Boot']","['MySQL', 'Docker', 'Redis']",['MongoDB'],1 week,Contributed to XYZ project,No achievements
Scott Wise,Mechanical Engineering,"['blockchain', 'artificial intelligence']","['quantum computing', 'artificial intelligence and machine learning']","['Rust', 'Lua', 'SQL', 'TypeScript']",['Flutter'],"['MongoDB', 'GitHub', 'GitLab']",['Docker'],1 week,Contributed to XYZ project,Awarded XYZ in Mechanical Engineering
Kathleen Garner,Computer Science,"['natural language processing', 'robotics', 'system architecture']","['bioinformatics', 'cybersecurity']","['Lua', 'SQL']",['Spring Boot'],"['TensorFlow', 'Docker']","['GitLab', 'GitHub', 'Kubernetes']",2 months,No open-source contribution,No achievements
Jacob Humphrey,Civil Engineering,"['computational biology', 'IoT', 'parallel computing']","['robotics', 'web and mobile development']",['Scala'],"['Svelte', 'Blitz.js']","['MongoDB', 'AWS', 'Google Cloud', 'PyTorch']","['MongoDB', 'Docker']",1 week,No open-source contribution,No achievements
Elizabeth Coleman,Mechanical Engineering,"['distributed systems', 'DevOps']","['quantum computing', 'human-computer interaction', 'IoT']","['C++', 'Shell Scripting', 'Lua']","['Next.js', 'Express.js', 'React Native', 'React']","['Elasticsearch', 'PyTorch']","['Redis', 'PyTorch']",1 week,Contributed to XYZ project,No achievements
Samantha Norton,Biotechnology,"['quantum computing', 'robotics']","['artificial intelligence and machine learning', 'data science and analytics', 'bioinformatics']","['Python', 'Lua', 'Ruby', 'JavaScript']","['Angular', 'Svelte', 'Ember.js']","['MongoDB', 'Elasticsearch', 'Ansible']","['Ansible', 'MongoDB', 'TensorFlow', 'Redis']",2 months,No open-source contribution,No achievements
Felicia Finley,Civil Engineering,"['robotics', 'artificial intelligence', 'system architecture']","['quantum computing', 'cybersecurity']","['C', 'Shell Scripting', 'Go']","['Flask', 'Ionic', 'Meteor', 'React']","['TensorFlow', 'Keras']",['TensorFlow'],1 month,Contributed to XYZ project,No achievements
Tiffany Rose,Electronics and Communication,['computational biology'],['cybersecurity'],['MATLAB'],"['Meteor', 'Express.js']","['Elasticsearch', 'Google Cloud', 'GitHub']","['AWS', 'Docker', 'GitHub', 'GitLab']",1 week,No open-source contribution,Awarded XYZ in Electronics and Communication
Barbara Bird,Mechanical Engineering,"['cloud security', 'generative AI']",['blockchain'],['Lua'],"['Flutter', 'React Native']","['Google Cloud', 'GitHub', 'Azure', 'Git']",['PyTorch'],1 month,No open-source contribution,No achievements
Amy Hernandez,Biotechnology,['mobile app development'],"['cybersecurity', 'IoT']","['R', 'Swift', 'TypeScript', 'Go']","['Spring Boot', 'Nuxt.js', 'Ionic', 'Laravel']",['TensorFlow'],"['PostgreSQL', 'Keras', 'Azure', 'MongoDB']",2 months,No open-source contribution,No achievements
Travis Rasmussen,Electrical Engineering,"['game development', 'computer vision', 'blockchain']",['blockchain'],"['TypeScript', 'Objective-C', 'C++', 'PHP']","['Ionic', 'Ember.js', 'NestJS']","['GitLab', 'Jenkins', 'AWS', 'Docker']",['Ansible'],1 week,No open-source contribution,No achievements
Christian Walker,Computer Science,"['cryptography', 'natural language processing', 'ethical hacking']","['cybersecurity', 'IoT', 'robotics']","['Lua', 'Rust', 'JavaScript', 'Java', 'Scala']","['Svelte', 'Ember.js']","['AWS', 'Keras']","['TensorFlow', 'Elasticsearch', 'AWS', 'Google Cloud']",1 week,Contributed to XYZ project,Awarded XYZ in Computer Science
Kimberly Webster,Electrical Engineering,['network engineering'],"['game development', 'bioinformatics', 'quantum computing']","['Lua', 'JavaScript', 'Dart']","['Express.js', 'Svelte']","['GitLab', 'Azure', 'Ansible', 'Jenkins']",['MySQL'],1 week,No open-source contribution,No achievements
Angel Cohen,Information Technology,"['web app development', 'network engineering']","['data science and analytics', 'web and mobile development']","['Swift', 'Kotlin']","['Spring Boot', 'Flutter', 'Ruby on Rails', 'Next.js']","['Git', 'GitLab', 'PyTorch', 'Google Cloud']","['Elasticsearch', 'Keras']",2 months,Contributed to XYZ project,Awarded XYZ in Information Technology
Nathaniel Livingston,Electronics and Communication,"['computational theory', 'deep learning']","['data science and analytics', 'artificial intelligence and machine learning']",['Ruby'],['Ruby on Rails'],"['GitHub', 'Docker', 'Ansible', 'TensorFlow']","['Keras', 'AWS', 'Kubernetes', 'GitHub']",2 months,Contributed to XYZ project,Awarded XYZ in Electronics and Communication
Carl Curtis,Computer Science,['distributed systems'],"['bioinformatics', 'game development', 'robotics']",['Objective-C'],['Express.js'],"['Ansible', 'MySQL']",['Docker'],2 months,Contributed to XYZ project,Awarded XYZ in Computer Science
Hector Jacobs,Mechanical Engineering,['robotics'],"['robotics', 'human-computer interaction', 'artificial intelligence and machine learning']","['Python', 'MATLAB', 'Objective-C', 'Scala', 'Kotlin']","['Ruby on Rails', 'Next.js', 'Spring Boot']",['Jenkins'],"['Git', 'TensorFlow', 'PyTorch', 'Google Cloud']",1 month,Contributed to XYZ project,No achievements
Karen Allen DVM,Biotechnology,['blockchain'],"['blockchain', 'quantum computing']","['TypeScript', 'Lua', 'C++']","['Meteor', 'React Native', 'NestJS', 'Flutter']","['Ansible', 'Kubernetes']","['PyTorch', 'GitHub', 'Jenkins', 'PostgreSQL']",1 month,Contributed to XYZ project,Awarded XYZ in Biotechnology
Rebecca Hunt,Computer Science,"['data visualization', 'human-computer interaction', 'data engineering']","['blockchain', 'human-computer interaction']","['JavaScript', 'Lua']","['Express.js', 'Vue.js', 'Laravel']",['AWS'],['PostgreSQL'],1 week,No open-source contribution,No achievements
Susan Good,Electrical Engineering,['cryptography'],"['IoT', 'web and mobile development', 'bioinformatics']",['Shell Scripting'],"['Meteor', 'Flask']","['Redis', 'AWS', 'Jenkins']","['Ansible', 'AWS', 'Redis', 'PostgreSQL']",1 month,No open-source contribution,No achievements
Susan Allen,Biotechnology,"['parallel computing', 'web app development']","['blockchain', 'artificial intelligence and machine learning']","['PHP', 'Python']","['Ember.js', 'Nuxt.js', 'Django', 'Flutter']","['TensorFlow', 'TensorFlow', 'GitHub']","['PyTorch', 'MongoDB', 'Google Cloud']",2 months,Contributed to XYZ project,No achievements
Ashley Anderson,Information Technology,"['parallel computing', 'software engineering', 'edge computing']","['quantum computing', 'data science and analytics']",['Scala'],"['Nuxt.js', 'Meteor']","['TensorFlow', 'Azure', 'TensorFlow', 'Redis']","['Kubernetes', 'Docker', 'Ansible', 'PostgreSQL']",2 months,No open-source contribution,No achievements
Peter Martinez,Electrical Engineering,"['mobile app development', 'parallel computing', 'data science']",['blockchain'],['Go'],"['Angular', 'Flutter', 'Flask']","['Redis', 'Git']","['Google Cloud', 'GitHub']",2 months,No open-source contribution,No achievements
Ashley Richardson,Biotechnology,"['computer architecture', 'edge computing', 'computational biology']","['web and mobile development', 'game development']",['PHP'],"['Flutter', 'Svelte', 'Flask']",['Docker'],"['Docker', 'PostgreSQL', 'GitLab', 'MongoDB']",2 months,Contributed to XYZ project,No achievements
Rick Simmons,Computer Science,"['artificial intelligence', 'game development']","['blockchain', 'game development', 'cybersecurity']","['Swift', 'PHP', 'MATLAB']","['Ruby on Rails', 'Laravel']",['Git'],"['PyTorch', 'Kubernetes', 'MongoDB']",1 month,Contributed to XYZ project,No achievements
Tina Perry,Civil Engineering,"['IoT', 'artificial intelligence']",['IoT'],['SQL'],['Laravel'],['Azure'],['Kubernetes'],2 months,Contributed to XYZ project,Awarded XYZ in Civil Engineering
Jason Chavez,Information Technology,['mobile app development'],['quantum computing'],"['PHP', 'Lua', 'Java']","['Flutter', 'Next.js', 'Angular', 'Express.js']","['PyTorch', 'TensorFlow', 'Redis']","['Git', 'GitLab', 'Jenkins', 'PostgreSQL']",1 week,Contributed to XYZ project,Awarded XYZ in Information Technology
Anthony Collins,Information Technology,['digital signal processing'],"['web and mobile development', 'bioinformatics']","['C#', 'Swift']","['Ember.js', 'Flutter', 'React Native', 'Django']","['Google Cloud', 'PostgreSQL', 'MySQL']",['PostgreSQL'],1 week,No open-source contribution,No achievements
Jeffrey Smith,Electrical Engineering,"['computer architecture', 'big data']","['game development', 'IoT', 'cybersecurity']","['Python', 'TypeScript', 'Objective-C', 'Rust', 'Swift']","['Express.js', 'Blitz.js', 'NestJS', 'Flutter']","['PyTorch', 'Git', 'Jenkins', 'Kubernetes']","['MongoDB', 'Docker', 'GitLab', 'Redis']",1 week,Contributed to XYZ project,No achievements
Rachel Carr,Electrical Engineering,"['autonomous systems', 'blockchain', 'computer vision']","['quantum computing', 'IoT']","['Lua', 'Rust']","['Ruby on Rails', 'Flutter']","['PostgreSQL', 'MongoDB', 'GitHub', 'TensorFlow']","['Jenkins', 'PostgreSQL', 'Keras']",1 month,No open-source contribution,No achievements
Nicholas Baker,Electrical Engineering,"['computational theory', 'computational biology']",['data science and analytics'],"['Python', 'C++', 'Go']",['Vue.js'],['PyTorch'],['PostgreSQL'],1 month,No open-source contribution,No achievements
Heather Irwin,Electrical Engineering,"['cloud security', 'data visualization', 'computer architecture']","['robotics', 'artificial intelligence and machine learning', 'data science and analytics']","['Dart', 'SQL']",['Express.js'],"['Redis', 'TensorFlow', 'Git', 'Docker']",['AWS'],1 week,No open-source contribution,No achievements
Jeffery Stark,Information Technology,['embedded systems'],"['web and mobile development', 'robotics', 'artificial intelligence and machine learning']","['PHP', 'C++', 'Go', 'Shell Scripting']","['Svelte', 'NestJS', 'Next.js']","['Redis', 'Ansible', 'PyTorch', 'Keras']","['Elasticsearch', 'Azure', 'GitLab', 'TensorFlow']",1 month,No open-source contribution,No achievements
Robert Burton Jr.,Electrical Engineering,"['robotics', 'computer architecture', 'human-computer interaction']",['human-computer interaction'],"['PHP', 'SQL', 'R', 'Shell Scripting']",['Vue.js'],"['TensorFlow', 'PyTorch', 'Git', 'GitLab']","['Google Cloud', 'Jenkins', 'PyTorch']",1 month,No open-source contribution,No achievements
Joel Perez,Electrical Engineering,['game development'],"['bioinformatics', 'blockchain', 'game development']","['TypeScript', 'Rust']",['React Native'],"['TensorFlow', 'Kubernetes', 'GitLab', 'Redis']","['TensorFlow', 'PyTorch', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
Brian Howell,Mechanical Engineering,"['human-computer interaction', 'blockchain']","['game development', 'human-computer interaction']","['PHP', 'Scala', 'Swift']",['Flask'],['Kubernetes'],"['Git', 'MySQL']",2 months,No open-source contribution,Awarded XYZ in Mechanical Engineering
Rebecca Macdonald,Electronics and Communication,['deep learning'],"['web and mobile development', 'human-computer interaction', 'IoT']","['Go', 'Shell Scripting', 'C++', 'Rust', 'Scala']","['Spring Boot', 'Nuxt.js']","['TensorFlow', 'Git']",['Ansible'],2 months,Contributed to XYZ project,No achievements
Jill Gutierrez,Information Technology,['cloud security'],['game development'],"['PHP', 'C#', 'Python']","['Ruby on Rails', 'Django', 'Ember.js', 'Spring Boot']",['TensorFlow'],"['TensorFlow', 'MySQL', 'PostgreSQL']",1 month,Contributed to XYZ project,Awarded XYZ in Information Technology
Maria Johnson,Biotechnology,"['reinforcement learning', 'IoT']","['data science and analytics', 'blockchain']","['TypeScript', 'PHP']","['Ruby on Rails', 'Ember.js']",['GitLab'],"['PyTorch', 'Google Cloud', 'Azure']",2 months,Contributed to XYZ project,No achievements
Stephen Santana,Civil Engineering,"['machine learning', 'cloud security']","['human-computer interaction', 'cybersecurity']","['Ruby', 'TypeScript', 'Lua', 'Kotlin', 'C']",['Flask'],['Azure'],"['Keras', 'Kubernetes', 'Jenkins', 'PyTorch']",1 month,No open-source contribution,No achievements
Gina Thomas,Information Technology,"['deep learning', 'human-computer interaction']","['IoT', 'cybersecurity', 'human-computer interaction']",['Rust'],"['React', 'Laravel', 'Nuxt.js', 'Ember.js']","['TensorFlow', 'Google Cloud']","['Elasticsearch', 'Ansible', 'MySQL']",1 month,No open-source contribution,No achievements
Megan Powell,Electrical Engineering,['generative AI'],"['cybersecurity', 'IoT']","['Dart', 'Kotlin', 'Java']","['React Native', 'Flutter']",['PostgreSQL'],"['Google Cloud', 'Git', 'Azure', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Wesley Smith,Computer Science,"['reinforcement learning', 'algorithms']","['web and mobile development', 'game development']","['Lua', 'Kotlin']","['Ruby on Rails', 'Blitz.js']","['PyTorch', 'Jenkins', 'MySQL']","['Jenkins', 'PostgreSQL']",2 months,No open-source contribution,No achievements
Samuel Rosales II,Information Technology,['AR/VR'],"['IoT', 'artificial intelligence and machine learning']",['TypeScript'],"['Ruby on Rails', 'Spring Boot', 'Django', 'Ionic']","['MongoDB', 'TensorFlow', 'MySQL']","['MySQL', 'TensorFlow', 'Elasticsearch']",1 week,No open-source contribution,No achievements
John Perkins,Electronics and Communication,['computer architecture'],['blockchain'],"['C++', 'Kotlin', 'Go', 'Lua', 'TypeScript']","['Svelte', 'Flutter', 'Next.js']","['Redis', 'GitHub', 'Keras']",['Redis'],2 months,Contributed to XYZ project,No achievements
Andrew Silva,Information Technology,"['system architecture', 'edge computing']",['data science and analytics'],"['SQL', 'JavaScript', 'Shell Scripting', 'Ruby', 'C++']","['Vue.js', 'React', 'Laravel']","['MySQL', 'Google Cloud', 'Jenkins', 'TensorFlow']","['TensorFlow', 'GitHub', 'Jenkins', 'Docker']",1 month,No open-source contribution,Awarded XYZ in Information Technology
Cassandra Cortez,Biotechnology,['AR/VR'],"['artificial intelligence and machine learning', 'data science and analytics', 'game development']","['Java', 'Go', 'Rust', 'Swift']","['Blitz.js', 'Spring Boot', 'Ember.js']","['Jenkins', 'PyTorch', 'Redis']","['Docker', 'Git']",1 month,No open-source contribution,No achievements
Wendy Holloway,Computer Science,"['natural language processing', 'computer architecture', 'algorithms']",['bioinformatics'],['Scala'],"['React', 'Express.js', 'Svelte', 'Angular']","['Azure', 'GitLab', 'Kubernetes']","['Google Cloud', 'TensorFlow']",2 months,Contributed to XYZ project,Awarded XYZ in Computer Science
Darren Ford,Civil Engineering,['algorithms'],"['bioinformatics', 'human-computer interaction']",['C#'],"['Angular', 'Spring Boot', 'Express.js', 'Meteor']",['PyTorch'],['Docker'],2 months,No open-source contribution,No achievements
Melissa Garcia,Computer Science,"['computer architecture', 'business intelligence']","['game development', 'IoT']","['Shell Scripting', 'Dart', 'MATLAB']",['Ruby on Rails'],"['Ansible', 'Kubernetes']","['TensorFlow', 'Azure', 'MongoDB']",2 months,No open-source contribution,No achievements
Sarah Sanders,Electrical Engineering,['autonomous systems'],['artificial intelligence and machine learning'],['PHP'],"['Ionic', 'Meteor']","['Keras', 'MySQL']","['PostgreSQL', 'Kubernetes', 'GitLab']",1 week,Contributed to XYZ project,No achievements
Angel Wilson,Civil Engineering,"['DevOps', 'cloud security']",['cybersecurity'],"['Python', 'MATLAB', 'Scala']","['Meteor', 'React', 'Ruby on Rails', 'React Native']","['TensorFlow', 'AWS', 'Redis', 'Azure']","['TensorFlow', 'Ansible', 'Google Cloud']",1 month,Contributed to XYZ project,No achievements
Thomas Johnson,Civil Engineering,"['cryptography', 'cloud security', 'generative AI']","['IoT', 'artificial intelligence and machine learning', 'game development']","['Rust', 'JavaScript']",['React Native'],"['Ansible', 'Jenkins', 'TensorFlow']","['PostgreSQL', 'MySQL']",1 month,Contributed to XYZ project,No achievements
Christie Brown,Biotechnology,['natural language processing'],['blockchain'],['R'],"['Nuxt.js', 'Blitz.js']","['Azure', 'MySQL']",['Docker'],1 week,Contributed to XYZ project,No achievements
Emily Bradley,Electrical Engineering,"['cloud security', 'cryptography']","['bioinformatics', 'human-computer interaction', 'cybersecurity']","['Lua', 'Shell Scripting', 'R', 'Dart']","['Express.js', 'Meteor', 'Ionic']","['Elasticsearch', 'AWS']","['Ansible', 'Elasticsearch']",1 week,Contributed to XYZ project,No achievements
Kristi Wolfe,Electronics and Communication,"['quantum computing', 'DevOps']",['web and mobile development'],['TypeScript'],"['Ionic', 'Nuxt.js', 'Ember.js', 'Angular']","['Elasticsearch', 'MongoDB', 'Git']",['GitLab'],1 month,Contributed to XYZ project,No achievements
Tina Quinn,Computer Science,"['system architecture', 'robotics', 'digital signal processing']",['game development'],['MATLAB'],"['Flutter', 'Ember.js', 'Vue.js']","['Git', 'TensorFlow']","['TensorFlow', 'MySQL']",1 week,No open-source contribution,Awarded XYZ in Computer Science
Alexis Parks,Biotechnology,['natural language processing'],"['quantum computing', 'bioinformatics']","['SQL', 'C']","['Meteor', 'Laravel']",['Google Cloud'],"['MongoDB', 'GitLab']",1 week,No open-source contribution,No achievements
Melissa Miles,Civil Engineering,['web app development'],"['IoT', 'robotics', 'quantum computing']","['TypeScript', 'Java']","['React Native', 'Nuxt.js', 'Svelte']",['Jenkins'],"['AWS', 'Kubernetes']",2 months,No open-source contribution,No achievements
Cody Torres,Computer Science,"['computational theory', 'machine learning']","['web and mobile development', 'IoT']","['SQL', 'C#', 'C++', 'Kotlin']","['Vue.js', 'Next.js', 'React Native']",['Docker'],"['TensorFlow', 'GitLab']",1 week,No open-source contribution,No achievements
David Flores,Information Technology,"['system architecture', 'cloud security']","['web and mobile development', 'blockchain']","['Objective-C', 'Java']",['Express.js'],['Ansible'],['Git'],1 week,No open-source contribution,Awarded XYZ in Information Technology
Christopher Brown,Computer Science,"['computer architecture', 'web app development', 'edge computing']",['cybersecurity'],"['Go', 'R', 'TypeScript', 'Kotlin']","['Svelte', 'React', 'Spring Boot']",['Elasticsearch'],"['Kubernetes', 'PostgreSQL']",1 month,Contributed to XYZ project,No achievements
Amy Mueller,Mechanical Engineering,['embedded systems'],"['IoT', 'artificial intelligence and machine learning']","['PHP', 'C', 'Ruby', 'SQL', 'Scala']","['NestJS', 'Blitz.js']",['Ansible'],"['Keras', 'PyTorch', 'Git', 'MongoDB']",1 month,Contributed to XYZ project,No achievements
Holly Ward,Computer Science,['quantum computing'],"['robotics', 'cybersecurity', 'IoT']","['Go', 'Java', 'C++', 'Python', 'Rust']","['Ruby on Rails', 'Angular', 'React']","['Azure', 'Git']","['Azure', 'PyTorch']",2 months,No open-source contribution,No achievements
Abigail Stanley,Information Technology,['natural language processing'],"['cybersecurity', 'blockchain']","['TypeScript', 'R', 'Scala', 'Python', 'Kotlin']","['Meteor', 'Next.js', 'Blitz.js']",['AWS'],"['GitLab', 'Keras']",2 months,No open-source contribution,Awarded XYZ in Information Technology
Linda Irwin,Electronics and Communication,"['computational theory', 'cloud security']",['bioinformatics'],['Scala'],"['Spring Boot', 'Laravel']","['TensorFlow', 'PostgreSQL', 'MySQL', 'TensorFlow']","['GitHub', 'MongoDB']",1 week,No open-source contribution,No achievements
James Sandoval,Civil Engineering,['computational theory'],"['bioinformatics', 'game development']",['Rust'],['Next.js'],"['AWS', 'Azure']","['Redis', 'Google Cloud', 'Git', 'Jenkins']",1 month,No open-source contribution,No achievements
Allison Williamson,Civil Engineering,"['parallel computing', 'reinforcement learning']","['artificial intelligence and machine learning', 'quantum computing']",['Swift'],"['Express.js', 'Nuxt.js', 'Ember.js', 'Meteor']","['Keras', 'Google Cloud', 'TensorFlow', 'Jenkins']","['Jenkins', 'MySQL', 'PostgreSQL']",2 months,Contributed to XYZ project,No achievements
Amy Reid,Civil Engineering,"['DevOps', 'AR/VR', 'computer vision']","['artificial intelligence and machine learning', 'data science and analytics', 'quantum computing']","['Lua', 'TypeScript', 'MATLAB']","['Ember.js', 'React', 'Vue.js']","['AWS', 'Docker', 'Ansible', 'Azure']","['PostgreSQL', 'Git']",1 week,No open-source contribution,Awarded XYZ in Civil Engineering
Virginia Sandoval,Electrical Engineering,"['parallel computing', 'DevOps']",['robotics'],['Objective-C'],['Ember.js'],"['Google Cloud', 'Git']",['MySQL'],2 months,Contributed to XYZ project,No achievements
Mr. Nicolas Davis,Biotechnology,['parallel computing'],"['quantum computing', 'artificial intelligence and machine learning', 'web and mobile development']","['C', 'SQL', 'Kotlin', 'Lua', 'Swift']","['Vue.js', 'NestJS']","['Elasticsearch', 'TensorFlow']","['Redis', 'Elasticsearch', 'Git', 'TensorFlow']",2 months,No open-source contribution,No achievements
Tyler Patton,Civil Engineering,"['natural language processing', 'computer vision', 'robotics']","['human-computer interaction', 'quantum computing']","['Rust', 'C++']","['Flutter', 'Express.js']","['PostgreSQL', 'GitLab', 'MongoDB']","['Ansible', 'GitHub', 'Keras', 'Redis']",1 month,No open-source contribution,No achievements
Daniel Hicks,Electrical Engineering,"['robotics', 'natural language processing', 'computational theory']",['blockchain'],"['Lua', 'Shell Scripting']",['Meteor'],['Docker'],"['Git', 'AWS', 'GitLab', 'TensorFlow']",2 months,No open-source contribution,No achievements
Michelle Graham,Civil Engineering,"['parallel computing', 'IoT']","['blockchain', 'robotics']","['C#', 'Lua', 'R', 'Swift']","['Flutter', 'React']","['Ansible', 'MongoDB']","['MongoDB', 'PyTorch']",1 week,Contributed to XYZ project,No achievements
Dawn Bailey,Mechanical Engineering,"['natural language processing', 'software engineering', 'reinforcement learning']","['web and mobile development', 'artificial intelligence and machine learning', 'game development']",['R'],"['Nuxt.js', 'Next.js', 'Ionic']",['Redis'],"['GitLab', 'Google Cloud', 'Kubernetes', 'AWS']",1 week,No open-source contribution,No achievements
Sara Williams,Biotechnology,"['game development', 'network engineering']","['cybersecurity', 'web and mobile development', 'quantum computing']","['Ruby', 'JavaScript', 'Swift', 'Java', 'Go']","['Ionic', 'Ruby on Rails', 'Ember.js', 'Angular']",['Redis'],['Elasticsearch'],1 week,Contributed to XYZ project,No achievements
Evelyn Petersen,Electrical Engineering,"['generative AI', 'DevOps', 'computational theory']","['IoT', 'web and mobile development']","['C++', 'Lua']","['Ember.js', 'Django', 'Ruby on Rails', 'React Native']","['Redis', 'Keras', 'Azure']","['Ansible', 'Elasticsearch', 'AWS', 'Keras']",1 month,Contributed to XYZ project,No achievements
Gina Gray,Civil Engineering,['machine learning'],['game development'],"['Java', 'C#']",['Vue.js'],"['Jenkins', 'Google Cloud']","['Keras', 'Redis', 'GitHub', 'Google Cloud']",2 months,Contributed to XYZ project,No achievements
William Weiss,Electronics and Communication,"['network engineering', 'game development']","['web and mobile development', 'bioinformatics', 'robotics']","['C++', 'C#']","['Vue.js', 'Ember.js', 'Svelte', 'Express.js']",['TensorFlow'],"['MongoDB', 'PostgreSQL', 'Elasticsearch']",1 month,Contributed to XYZ project,Awarded XYZ in Electronics and Communication
Heather Pierce,Civil Engineering,['reinforcement learning'],"['web and mobile development', 'data science and analytics', 'robotics']","['Java', 'PHP']","['Django', 'Next.js', 'Flutter', 'Ruby on Rails']","['MongoDB', 'MySQL', 'Jenkins', 'Google Cloud']","['GitHub', 'GitLab', 'Elasticsearch']",2 months,No open-source contribution,No achievements
Linda Barr,Mechanical Engineering,"['big data', 'mobile app development', 'human-computer interaction']","['human-computer interaction', 'quantum computing']","['TypeScript', 'SQL', 'Shell Scripting']","['Blitz.js', 'Svelte']",['GitHub'],"['Jenkins', 'PyTorch', 'Azure']",2 months,No open-source contribution,Awarded XYZ in Mechanical Engineering
Nicholas Gillespie,Mechanical Engineering,['reinforcement learning'],['robotics'],"['Dart', 'Lua', 'C#']",['Flutter'],"['TensorFlow', 'PostgreSQL', 'Jenkins', 'Elasticsearch']","['MySQL', 'Jenkins', 'Keras']",2 months,No open-source contribution,No achievements
Erin Boyd,Information Technology,"['computational biology', 'web app development', 'DevOps']",['human-computer interaction'],"['Java', 'Dart', 'TypeScript', 'SQL', 'Python']","['Ruby on Rails', 'Django', 'Next.js']","['Redis', 'MySQL', 'Docker']","['GitLab', 'Git', 'GitHub']",2 months,Contributed to XYZ project,No achievements
Kristine Knight,Information Technology,"['computer architecture', 'system architecture', 'deep learning']","['data science and analytics', 'bioinformatics', 'cybersecurity']","['Lua', 'PHP']","['React', 'Meteor', 'NestJS', 'Angular']","['Keras', 'Ansible', 'GitLab', 'Docker']","['MongoDB', 'PostgreSQL', 'Elasticsearch']",1 week,No open-source contribution,Awarded XYZ in Information Technology
Joshua Sims,Civil Engineering,"['human-computer interaction', 'big data', 'computational theory']",['web and mobile development'],"['C', 'Objective-C', 'Kotlin']","['Flutter', 'Svelte', 'NestJS']","['Keras', 'Azure', 'Kubernetes', 'Redis']",['Jenkins'],1 week,No open-source contribution,No achievements
Lisa Andersen,Electrical Engineering,"['edge computing', 'deep learning', 'bioinformatics']",['quantum computing'],"['C++', 'Go']","['Flask', 'Vue.js', 'Ionic', 'Angular']",['MongoDB'],"['Google Cloud', 'Azure', 'TensorFlow', 'PyTorch']",1 week,No open-source contribution,No achievements
Shari Gates,Electrical Engineering,"['reinforcement learning', 'generative AI', 'data visualization']","['bioinformatics', 'human-computer interaction']",['Java'],"['Django', 'Blitz.js']","['TensorFlow', 'Google Cloud', 'Elasticsearch', 'Jenkins']","['Git', 'Jenkins', 'Ansible']",1 month,No open-source contribution,No achievements
Daniel Flores,Information Technology,"['autonomous systems', 'algorithms', 'network engineering']","['quantum computing', 'bioinformatics']",['Swift'],"['Angular', 'Django', 'Vue.js', 'Ruby on Rails']","['PostgreSQL', 'Keras']",['Azure'],1 month,Contributed to XYZ project,Awarded XYZ in Information Technology
